-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0.0376554819048231	0	0	0	0	0	0.0158844635652074	0.0125461738846909	0.00529145274056124	0	0	0	0	0	0.0486539285337793	0	0.0398988580621707	0	0.0138261950336529	0.13844804659908	0.0794791993307112	0.762312444232094	0.0110721439337745	0.371939328918232	0	0	0.577525332950055	0.294376032255374	0.692272941139409	0.0204845408208867	0.206402029278426	0.198423731175584	0.0521813049733734	0.0516277835593931	0	-0.00588420021109691	-0.00177025254132136	0	0	0	0.0121121340889175	0.0249464606808688	0.040016337936109	0.000581650784177774	0	0	0	0	0	0	0
MGW	0	0	0	0	0	0	0	0	0	0	0	-0.000739580990512151	-0.0813999207937278	0	0	0	0	0.100897480897866	0	-0.0601591415008842	-0.272735915515122	0.102045278500406	0.288805993482196	0	0	0	0	0.255092076242079	0.110918898450903	-0.197652977276535	-0.1110487734588	0	0.0154908016842117	0	0	0	-0.000516135266466344	-0.183954262241294	-0.0803737505041243	0	0	0	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0309969336491705	0	0	-0.109030494357294	0	0	-0.29282154145697	0.0456528479424582	-0.30370547683715	0	0	-0.0579027236666149	0	0	-0.0395374158076557	0	0	0	0	0	0.0205619915727977	0	0	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0	0	0	0	0	0	0.0735491905964094	0	0	0	0	-0.0748715519702012	0	0	0.0323667058861781	0	0.039653091953289	0	0	-0.142641019157155	0	0.021482166840478	0	0	0.0168810278204248	0	-0.0414072778910665	0	0.0493093831501948	0.0427783573194101	0.0922568588586436	0.0169197026866874	0	0	0	0	0	0	0	0.0187611588242639	0.0319240010034017	0	0	0	0	0	0	0	0
Roll	0	0	-0.0103418180605442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00490862349071849	-0.318302185058943	0.414336986261053	0.256247827764425	-0.357332841116882	0.210879713203831	-0.367690521310646	0.122512234659639	0.506967343716885	-0.283045777879811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EP	0	0	0	0	0	0	0	0.0374886417959814	0.140384228540506	0	0	0	0	-0.144876064639009	0	0	0.226292379095868	0.116495117402634	0.0517220087419196	0	0	-0.00713455096121203	0.169258194644126	0.426889207122838	0	0	0.334009156335438	0.248135319660049	-0.140815852916947	0	0	0.135052138482612	0.111643782435819	0.18607675573301	0	0	-0.0461881180721618	0	0	0	0	0.0903911234285903	0.0704793813951089	0	0	0	0	0	0	0	0
Stretch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00734745800340408	0	0	0	0	-0.302952869552208	0	0	0	0	-0.348474104556426	0	0	0	0	-0.0312012776840993	-0.00628252876009053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367946246512238	0	0	0	0	0	0.0377838523218388	0.00721887809024871	-0.31925285163555	0	0.0178333664609023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0647979254661146	0	-0.236363236231721	0	0	0	0	0	0	-0.149825143906911	0	0.135591412355648	0	-0.100803491695852	-0.0878373669827797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0799480544207845	0	0	-0.00263005619914281	0.00433379235501423	0	0	0	0	0	0	0	0	0.0635376484003821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opening	0	0	0	-0.0201730676621115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0972879238988959	0	-0.137302869076953	0.000221847829701881	0.0156530748947906	0	0	0.131941084433886	0	-0.170689215675664	0	0.180290406103677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131259796285469	0.354195587053501	0	-0.237280067336044	0.449565243259309	0	0	0	0.377662981715494	-0.239976031785853	0	0.370773602321415	0.0413615163300824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shift	0	0	-0.00231515900594251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.32339659522345	0.567818782868168	0	-0.264421237829956	0	0.307476700494825	0	-0.542686061681369	0.425542007355844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stagger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446757102797997	0	0	0	0	0	0	0.231145455836095	0	0	0.209817771346463	0	0	0	0.011251627081197	0	0	0	0	0	0	0	0	0	0	0	0.0170383000047645	0	0	0	0	0	0	0	0
Slide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131596781914427	0	0.0602927054013664	0	-0.0818713587175716	0	-0.0976142409886331	0	0.092144886065222	0	-0.142256520151253	0	0	0	0	0	0	0	0	0	0	0	-0.000238926916905662	0	0	0	0	0	0	0	0
