-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0	0	-0.0290108487707365	0	0	0	0	0	0	0	0	-0.00374537164445801	0	0	0	0	0	0	-0.0568090525207074	0.0634334054216641	0.24457254677679	0.421339074235397	-0.238561972030446	-0.0957520521402335	0.14051516823988	0.578035006351509	-0.0787901392076686	-0.288467588883484	-0.112343335838799	0.263895645778162	-0.0984920117533634	-0.145899706677881	-0.0414429282980479	0.00597015315413816	0	0	-0.0641148506927824	0	-0.0260750045714412	-0.00237236595571678	-0.017209994637398	0	-0.0242663555170857	0	0	0	-0.0409523034679045	0	0	0	0
MGW	0	0	0	0	0	0	0	0	0	-0.0586392913108044	0	0	-0.0177894998425324	-0.219649656353103	0	0	0	0	0	0.506156027958727	0	-0.0323528270015079	0	0.626290391234846	0	-0.170447770426757	0	0.577936919664776	0	-0.117449146793185	0	0.434675484920125	0	0	-0.0174857029042899	0	0	-0.0243353196774436	-0.0638970637998441	0	-0.00258491646810569	-0.0400500782077997	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0.0325101457243917	0	0	0	0	0	0.0329990929424591	0	0.00732327461516174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00180801148292231	0	0	0.0584009423268425	0	0	0	0.0843326645150818	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0	0	0	0	0	0	0	0	-0.0317106183351749	-0.00675315625902699	0	0	0	-0.0468675078267378	-0.0349789310148799	0	0	0	0	0	0	-0.0377143389571344	0	0	0	-0.00221643733864417	0	0	0	0	0	0	0	-0.0262214368097771	-0.00126057373775438	0	-0.0471717223669735	-0.0393430627733413	-0.0271613509369032	0	0	0	0	0	-0.00580130057962369	0	0	0	0
Roll	0	0	-0.00478710693590405	0.0583069433142532	0	0	0	0.0172976613575475	0	0	0	0	0	0	0	0	0	0	0	0.0390697638429741	0.00220511770644488	0	-0.292199982902792	0.128232510366811	0.122319335342319	0	0	0.0703776756629878	0.0870968796608822	-0.258514800317905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0419387497138441	0	0	0	0.0655777252330835	0	0
EP	0	0	0	0	0	0	0	0	0	0	0	0	-0.0692628980927696	0	-0.0245951676406544	-0.0242788043314042	0	0	0	0	0	0	0	0	0	0.258434985924613	0	0	0	0.0009624216580292	0	0	0	0	-0.0688072139540051	0	-0.165071036316118	-0.00321739303180317	-0.0731428665139684	0	0	0	0	0	0	0	0	0	0	0	0
Stretch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233189910493247	0.0612697145510166	0	0	0	0	0	0.0904124179279699	0	0	-0.00375952507125678	0	0	0.0634956070704395	0	0	0	0	0	0	0	0	0.00700272766774233	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0254499928754391	0.124068111590927	0	0	0	0	0	0	0	0	0	0	-0.0642972927674533	0.00426817856926645	0	0	-0.0344334586674663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0.00302891289436968	0	0	0	0	0	0	0	0	0	0	-0.000604798256153342	0	0	0	0	-0.158582551611408	0	0.10262410491132	0	-0.0509781551589488	0	0.189771511784956	0.00283248412045105	0	0	0	0.0361882663918482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0182500345585402	0	0	0	-0.190430044070601	-0.228474207514786	-0.0802221267775597	-0.00458243471898597	-0.217328919021906	-0.100797339714587	0	0	0.00890100342597301	0.0904360310016004	0.232951834025935	0.071136107809928	0.0405059541349585	0.268371550736186	0.196258642155266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
