-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0	0	-0.026705138033491	-0.0330600286063988	0	-0.0467082993839608	-0.0738616303307898	0	0	0	0	0.0423752720166708	0	0	0	-0.132053071903833	0	0.00595767230155152	0	0.0556941871379851	0	0	-0.0902820021940085	0	0.468869117752156	0.953679501953509	-0.356842283777533	-0.185526700387711	-0.122669438024202	0.540927769423713	-0.191047013313449	-0.251573886543849	-0.111824101822838	0.082324693288755	0	0	0	0.0371876358572667	0	-0.0220409214393204	-0.0559981174525319	-0.0484085544595827	-0.033446287540802	0	-0.00180096775425954	0.019357889870258	0	0	0	-0.0326272491369719	0
MGW	0	0	0	0	-0.0165716646359918	-0.0765888749559429	0	0	0	0	0.0580693634935981	0	-0.0158082047568472	-0.151135187826897	-0.0934290994591246	0	0	0	0	0	0	0	0	0.953139242786929	0.138575807128879	0	0	0.327405738921995	0	0	0.107150601333934	0.857353062733958	0	0	0	0	0.00110185124934162	0	0	0	-0.0701415851064622	-0.105697056825836	0	0	0.104330533205687	0	0	0	0	0	0
HelT	0	0	0	0	0	0.0115580094647742	0	0	0	0	0	0	0	0	0.0603528922614392	0.200390877723937	0	0	0	-0.0530833888761083	0	0	-0.0602759469894901	0	0	0	0	0	0	0	0	0	0	-0.12129649709553	0	0	0	0	0	0	0.180470935675573	0	0	0	0	-0.00589099870197904	0	0	0	0	0
ProT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0326855127877033	-0.00734716289691804	0	0	0	0	0	0	0	0	0	0	0	-0.135003430042161	0	0	0	0	0	0	0	0	0	0	0	-0.0648017555871539	-0.0763333044362968	0	0	0	0	0	0	0	-0.0531055850057093	0	0
Roll	0	0	0	0	0	-0.00558630570208898	-0.0121133377005459	0.158818726368185	0	0	0.0307123416497551	0	0	0	-0.121657214492919	0	-0.15657868370437	0	0	0	0	0	0	0.100306869458989	0.111598021546881	0.013443959830608	-0.438458767067309	0.0527750061234338	0.0455659691149416	-0.377399430978822	0.0102791104418832	0.170047769307597	0.0274255375625809	0	0	0	0	0.00466166528728934	0	0	0	-0.0949608711873166	-0.0100843795171232	0	0	0	0	0	0.160022891832128	-0.139947897187135	0
EP	0	0	0	0	0	-0.0834265016489036	-0.0151777759520466	0	0	0.000827993798981277	0	0	0	-0.0432328325399434	-0.0912333673781845	-0.230397597237224	0	0	0	0.156735400381091	0	0	0	0	0.113137096599259	0.418285550966646	0	0	0	0.508374481244678	0.133200728975794	0	0	0	0	0.00673116155894358	0	0	0	-0.191861353982462	-0.23214357454537	0	0	0	0	0	0	0	0	0	0
Stretch	0	0	0	0	0	0.0903534348487262	0	0	0	0	0	0	0	0	0	0.0168035078060741	0	0	0	0	0	0	0.024242403523477	0	-0.311158680854196	0	0.142444431032446	0	0.18872664453441	0	-0.335419428019489	-0.0427062504660492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137853491102334	0	0	-0.071626234856948	0.00753123687461597	0	0	0	0.13049253331344	0	0	-0.213909830886628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0.0316948341585129	0	0	0	0	0	0	0	0	0	-0.177367337098712	0	0	0.219080240999077	0	0	0	0	0	-0.31959848780346	0	0.00632756997404235	0.260525360826363	0	0	0	0	0	0	0	0	0	-0.0302067825749092	-0.0183016327281268	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0165038427489138	0	0	0	-0.0472529764205534	0	0	-0.354646617079961	-0.330991972522426	-0.166016887387426	-0.17582419939492	-0.126224331573828	0	0.12155355274099	0.176734344380266	0.218862547386882	0.361393368303157	0.304923126417937	0	0	0.0203302075526439	0.0211196229729501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
