-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0	0	0	0	0	0	0	0	0.000111105288177633	0	0	0	0	0	-0.00939564743850491	-0.0375676457448869	0	0.0279357826935704	0.187081212069528	0.026836593256668	-0.00162729138417836	0	0	-0.0911649594902138	0.111966198011004	0.131925206110677	0.0811989298058709	-0.0468775920836577	0.111677819029146	0.0565271285303893	0.189334779303849	0.0916976890149399	-0.18588334355023	0.199612351290071	0.0266801458780995	0	0	0	0	0	0	0	0.0682385229115268	0	0	0	0	0.000436453807583079	0	0	0
MGW	0	0	0.030490989064616	0	0	0	0	0	0	-0.0818501578827598	0	0	0	0	0	0	-0.0514020472466295	-0.122727786727847	0	0.458125143003238	0.0374328664003704	0	-0.00433877867501079	0	0.135043704357542	0.124060468289898	0.0685765167054458	0	0	0	0.00864306444217802	0.376747746534091	0	-0.148162259451901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00971160678522125	0	0	0	-0.0126405428912123	0	-0.00566614225933469	0	-0.053852152050627	-0.0420055305546712	0	0	0	-0.107574387261545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000555732270548493	0	0	0	0	0.0221468009965235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roll	0	0	0	0	0	0	-0.133508416481919	0	0	0	0	0	0	0	0	0	0	0	0	0.177407877069947	3.28925852829037e-05	0	0	-0.296140335095064	0.000622064785152821	0.00605240737061172	0.0248764143138297	0	-0.0438581205756207	0	0	0.0527499226229279	0.219355489901322	-0.242007441422089	0	0	0	0	0	-0.0162605463306896	0	0	-0.0354751435394332	0	0	0	0	0	0	0	0
EP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190538279906759	0.161643716238466	0	0	-0.0146844156583644	0.161749035469205	0.523332602996497	0.106791708331336	0	0	0	0.201876751414995	0.293500574438037	0	0	0	0	0	0	0	-0.0368289746706769	-0.125812654615344	0	0	0	0	0	0	0.0632498495800177	0	0	0
Stretch	0	0	-0.00765451204015906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.186423374926896	-0.00098764186160111	0	0	0.166256659174889	0	-0.329373372458401	0	0.197113897820776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00490191000414742	0	0	0	0	0.0406212157906048	0	0	0	0	-0.0750613061385522	0.0230581636192435	0	0	0	-0.0175123842579993	0.0231634695717816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0811289938973639	0	0	0.0801186703533375	0	0	0	0	0	0	-0.00827816147550393	0	0	0	0	-0.0302045762135193	0	0	-0.118865318318471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0100487165660313	0	0	-4.20867166684537e-05	0	0	0.0246717421573114	0	-0.0496622820487798	0	0.0612615651460594	0.0382995342095591	0	0	0.0578473175144591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opening	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0887635625675061	0	0	0	0	0	0	0	0	0.0383954911933118	0.230649304233976	0.0273714840868539	0	0	0	0	0	0	0	0	-0.0203539455507724	0	0	0	0	0	0	0	0	0	0	0.0308189194064618	0	0	0	0
Rise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.063970308001683	0	0.140370974177465	0	0	0	0	0.09457259138282	0	0	0	0.0385523103696208	0	0	0.156306959201394	0	0	0	0	0.177006016178344	-0.00913140196347649	0	0	0.129377734568934	0	0	0	0	0	0	0	0	0	0	0	0
Shift	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0291801326343199	0.296944810175371	0	0	0	-0.166415877076389	0.362000150461752	0	0	-0.196510609183303	0.105958691024593	0	0	0	-0.210485217882057	0.0725544256828506	-0.204825002432807	0	0	0	0	-0.0227885575924234	0	0	0	0	0	0	0	0	0	0	0
Stagger	0	0	0	0	0	0	0	0	0	0	0	-0.0398689682543134	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0485701103097633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0973934958727278	-0.113851697199642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
