-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0	0	0.0729594437362159	0.0560166029151219	0	0	0.0421968844445544	0.0164482898115718	0.0321288745000355	0	0	0	0.0402882849857378	0.0204582380965424	0	0	0	0.136942398661528	0.198079101581221	0.0874496863035772	0	0	0.0113132716377143	0	0.171689665412413	0.0712860450937898	0.176000474827765	-0.0300761958489808	0.166574908334751	0.0527029947930484	0.230405431346743	0.0628114826489694	-0.110814773111923	0.226250193196413	0.0132786131036522	0	0	0	0	0	0	0	0.141248945757439	0	0	0	0	0.0263025422392642	0.0134144496782881	0	0
MGW	0	0	0	0	0	0	0	0	0	0	0	-0.0033735427797227	0	0	0	0	0	0	0	0.287623807827483	0.0107795787716769	0	0	0	0	0.0332240520263308	0.0365863169331113	0	0	0	0	0.314284917050378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432378823947626	0	0	0	0	0	-0.0335668417278337	0	0	0	-0.046507058258629	-0.040058010448916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0.107113954227776	0.0858264486814656	0	0.024613673224241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0783637023162981	0	0	0	0	0	0.0300754444180369	0	0	0	0.127954788711874	0	0	0	0	0	0	0	0	0	0	0	0.0824164778150959	0	0	0	0	0.00598719767054889	0.0412809539124116	0	0
Roll	0	0	0	0	0	0	0	0	0.00949017377164946	0	0	0	0	0	0	0	0	0	-0.205714627995891	0.101929761483167	0.0164290382078846	0	0	-0.058982817064394	0	0	0	0	-0.142402186960706	0	0	0.0112646619338366	0.105699241558633	-0.236550233221299	0	0	0	0	0	0	0	0	0	0.00447778075035	0	0	0	0	0	0	0
EP	0	0	0.0737145481767222	0.00988957682293691	0	0	0	0.0203954589557599	0.0382251547774664	0	0	0	0	0	0	0	0	0	0	0.241164070227083	0.336810390921231	0	0.0395339641524712	0	0.269241167421335	0.361629825535432	0.313918689592525	0	0	0	0.247862115374839	0.305981265259411	0	0.00450477561203746	0	0	0	0	0	0	0	0	0.0232205756646648	0	0.0449117056499111	0	0	0.0274605187852788	0.0430608814535377	0	0
Stretch	0	0	0	0	0	0	0	-0.00384769982875972	0	0	0	0	0	0	0	0	0	0	0	-0.179019450419621	0	0	0	0.0699538979787662	0	-0.251699088571692	0	0	0	0	0	-0.137090258275545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.014182020565415	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372631876575122	0	0	0	0	0.0517767882553912	0	0	0	0.0132752654833428	0	0	0	0	0	0	0	0	0	0	0	0	0.0235801940261617	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0575237821877615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0891692508071201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0187020050775156	0	0	0	0	0	0	0	-0.0473431182294247	0	0.0266567864048374	0	-0.0911612314586512	0	0.0195127748115277	0	0	0	0.0055145436521515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opening	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0992104475418778	0	0	0	0	0.111336542608681	0	0.161600038364413	0.0956886555478072	0.168432438258536	0	0.0260013191091166	0	0	0	0	0.079497914753811	0	0	0	0	0	0	0	0	0	0	0	0.000631209215960291	0.014015121245379	0	0	0	0
Rise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189103500269957	0	0	0	0	0.0460798703566876	0	0	0	0	0	0	0.200107874950216	0	0	0	0	0.127119926837576	0	0	0	0.0658973536375096	0	0	0	0	0	0	0	0	0	0	0	0
Shift	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706677108931271	-0.158284092026043	0.113995754601772	0	0	0	-0.0665145432241038	0.201221733535985	0	0	-0.182323832942886	0.101925732534651	0	0	0	-0.0432949878849225	0.15061034123455	-0.0994351541332083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stagger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131270503455469	0	0	0	0	0.0361561180857617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slide	0	0	0	0	-0.0334286122799401	0	-0.0420513986272496	0	0	0	0	0	0	0	0	0	0	0	-0.00325898007664148	0	0	0	0	0	0	-0.0626467738501125	-0.135639984477377	0	0	0	-0.00639125989669885	0	0	0	0	0	0	0	0	-0.00305462593446043	0	0	0	0	0	0	0	0	0	0	0
