-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	-0.0296668095473618	0.00047098199289705	0	0	0	0	0	-0.0182564649939038	0	0	0	-0.0250980019126046	0	0	0	0	0	0.0248328064989758	0.336607909896254	0.229321234227697	0.412142836053009	0.412358288583371	0.112981047065557	0.175508549402464	0.23076771892965	0.361458092850878	0.425261220325586	0.271225461762631	0.18659560076936	0.0289706615280588	0.351048777982102	0.430466797082476	0.112734157198549	0.258169468910576	0.103270815236226	-0.0692363631316209	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.011044677861476	0
MGW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133820453895019	0	0	-0.0070389031881603	0	0	0	0	0	0.0367679643207062	0	0	0	0	0	0	0	0	-0.0111390425477142	-0.0127407562740505	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0	0	0	0	0	0	0.00246906316650724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432730522694059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0	0	0	0	-0.00534160883884289	-0.016982288783649	-0.00100509368487881	0	-0.0233745395020673	-0.0157270372346637	0	0	0	0	-0.0205105197901275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0179415630519347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00887276622255093	0	0.118113953013451	0	0	0.163696764661378	0	0	0	0	0	0.151011028304759	0	0	0.184860689460812	0	0.0285545099062131	0	0	0	0	0	0	0	-0.0790422676082303	0	0	0	0	0	0	0	0
EP	0	0	0	0	0	0	-0.00804581162474216	0	0	0	-0.0174297069889157	0	0	0	0	0	0	0	0.157809036705589	0	0.0651631293302233	0.219670134798053	0	0.0186624165427157	0	0.0890819125267137	0.146744318000635	-0.0105307465200594	0.0648336985513186	0	0.175595459156807	0.068861158877686	0	0.14332433440802	0	0	0	0	0	0	-0.0197532570564762	-0.0350518493526068	0	0	0	0	0	0	0	0	0
Stretch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0398205735969576	0	0	0	-0.0376744099305331	-0.272537577930306	0	0	0	0	-0.000662766617534351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0655440576029437	0	-0.118000652323329	0	0	0	0	-0.106978820461204	0	0.0395334976335594	0	0	0	0	0.112442980028121	0	0.0582699701445515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0	0.0367220229346566	0	0	0	0	0.0329589564651652	0	0	0.160974772769319	0	0	0	0.112428411071909	0.0320084673634502	0	-0.125912148718351	0	0	0	0	-0.00328617880114861	0	-0.112342576750744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0222886910160601	-0.0268270884637103	0	-0.00632852856633364	-0.275958622723343	-0.170035946012731	-0.402903110933326	-0.302661175859696	-0.0768550807380564	-0.269691795984695	0	0	0	0	0.270506305049917	0.043195072077151	0.263763667539011	0.379142736411516	0.117114622341609	0.269235343676464	0.0700043305569136	0.00351349184013552	0.000748548932929206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opening	0	0	0	0	0	0	-0.0959952580442708	-0.045717550722916	0	0	0	0	0	0	0	0	-0.0372419204249923	-0.00538784431671977	0	0	0.0101418145560274	0.138365484215036	0	0	0	0.247192701606824	0.318010849927413	0	0	0	0.120556241688993	0.0443896952096022	0	0.0192765048215698	0	-0.183297999939822	0	0	0	0	-0.0886694937679978	0	0	0	0	0	0	0	0	0	0
Rise	0	0	0	0	0	0	0	0	0	0	0	0	-0.0160851699561123	0	0	0	0	-0.0975824729488029	0	0	0	0.141858456609683	0	0	0	0	0.473586453222091	0	0	0	0	0.136003343594895	0	0	0.00411355278820257	-0.00532065069902876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shift	0	0	0.0261419843253302	0	0	0	0	0	0	0	0	0	0	0.021615470671568	0	0	0	0	0.315617630657976	-0.0966844825011504	0.245295483820946	0	-0.336868335058345	0.119002600232889	-0.0250142810473703	0.492991059204716	0	-0.544068830012674	0.052700777445849	-0.112970546513529	0.357707505939126	0	-0.123460015300913	0.045388926712985	-0.114322449038731	-0.0280769954556912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stagger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00315006412628572	0	0	0	0.0650145617792087	0	0	0.000782911312739285	0	0.0639442856547703	0.163276082387515	0	0	0	0	0.0364651395623383	0	0	0	-0.0622709799215501	0	0	0	0	0	0	0	0	0	0	-0.000379772543351444	0	0	0	0
Slide	0	0	0	0	0	0	0	0	0	0	0	0.035680145779064	0	0	0	0	0	0.0100803550602929	0	0	0	-0.0576106932287875	0	0	0	0	-0.17281145024743	0	0	0	0	-0.145415243354715	0	0	0	0.00718116422892437	0.0198231779917058	0	0	0	0	0.00316292214455114	0	0	0	0	0	0	0	0	0
