-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0	0.000637510138843929	0.0182439746106068	0	0	0	0	0.0160024774464172	0	0.00215393405024465	0	0	0	0.0348561592486798	0.00575401786720646	0.044361969193563	0	0.150025872845448	0.0568365854130754	0.132738317656453	0	0.140239820609536	0.115318270074476	0	0.24652798316432	-0.0254866055339702	0.203715513455352	0.47069780760943	-0.207614766548723	-0.226940794160339	0.0544643118558396	-0.0797742279142347	-0.121204356015537	0	0	0	0	0	0.0419894654761576	0.00334007000925889	0.0247018748857036	0	0	0	0	0.00758433983527546	0	0	0	0.00961254043052308	0
MGW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0268046942750496	0	0.066261842288853	0	0	0.146197521009664	0	0	0	0.1220350127047	0	0	0.114825854368742	0	-0.128824549379326	0	0	0	0	-0.0131075203582828	0	0	0	0	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625970823418008	0	0	0	0	-0.26695802918991	0.0401553997249039	0	-1.67071178094621e-05	0	-0.213065216024192	0	0	0	0	0.0958087242392049	-0.0635138176353617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0	0	-0.0473652126597407	0	-0.000787645741439788	-0.0569145183925584	0	-0.0243785153037702	-0.073975138729464	0	-0.0344716948282992	-0.109961341347673	-0.0138894323459707	0	0	0.0831472949070377	0	0	0	0	0	-0.0181524643153279	-0.0457235748841905	0	-0.0649154022167586	-0.0623169685234921	0	0	0	0	0	0.0557541084332689	0	0	0	-0.0207683442871226	-0.117238325947017	-0.113117898709629	-0.0268418894070576	-0.0495908164443813	-0.02783632322045	0	0	-0.00170773335532581	-0.0753414601703956	0	0	0	0
Roll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54027674574174e-05	0	0	0	0.290775178122022	0.0998905731869418	-0.00690550312918638	0.22477008896178	0	0	0.312101266312661	0	0.0167399177205324	0.249445756488422	-0.0367323451315845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0129758162610129	0	0	0	0	0	0	0.0780300630535673	0	0	0	0	0	0	0	0.0717125863248587	0	0	0	0.109445551704679	0	0	0	-0.0283383857757426	0	-0.00507557164546919	0	0	0	0	0	0	0	0	0	0	0
Stretch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0211427993040515	-0.016310944680294	-0.255592065150212	0	0	0	0	0	0	0	-0.22732015739031	-0.0254558806778446	0	0	0	0	-0.0783552129287292	0	0.0430366407859744	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0727533612018857	0	0	0.114803732633126	0	0	0.24989165174628	0	-0.0897651632750797	0.175463781316417	0	-0.272639730677054	0	0	0	0	0	0.0657095542738282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000539758999408926	0	0	0	0	0	-0.139161903630615	0	0	-0.152078345591771	0	0.0167478406086196	0	0	0	0.139269591659107	0	0	0.265617046253259	0	0	0	0	0	0	0	0	-0.000594633676506074	0	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0667879523199525	0	-0.0625789927471814	0	0	0	0.141414273924283	0	-0.000724822143233662	0.136101138604241	0	-0.159338798129495	0	-0.0267032415969871	-0.160120812245874	0	0	-0.0112481268195134	0.000521270561763338	0	0.0105689380668619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opening	0	0	-0.00088588848490056	0	0	0	0	0	0	0	0	0	-0.00699265185571772	0	0	0	0	0	0.01976177422461	0	0	0.057241766814964	0	-0.12977966622365	0	0	0	-0.0831950079559445	0	0.0209086332483876	0	0	0.102697895633366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0880562796284823	0.12846160352086	0	0	0.161395020277642	0	-0.0408132238015093	0.0475675629104286	0.151720109023262	0	0	0.289561576659889	0	0	0.0948416617973619	0.109019043277534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shift	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0648903360413618	0.0433204518911071	0	-0.440452962638886	0	0.139906449558923	-0.0302497388473087	0	0.492129431030297	0	-0.0826914633550802	0.070071038854484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stagger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215170682514833	0	0	0	0	0.00865388628691659	0	0	0.24188052144613	0	0	0	0	0	0	0	0.0096440769904957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slide	0	0	0	0	0	0	0	0	0.022715402099425	0	0.0030732645117935	0	0	0	0	0	0	0	0	-0.118572595568497	0	0	0	0	0.205582828113217	0	0	0.20414560802994	0	-0.0352922420258406	0	0	-0.0406536244608502	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00053844901186673	0	0	0	0
