-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0.0352051121041893	0	0	0	0	0	0	0.0902754628542591	0	0.0175085098106048	0	0	0	0	0	0	0.00241812898629391	0.0158713765464499	0.0576484871436423	0.0686776106585474	0.0815187679353056	0.734322047429927	0.00238622616784909	0.376121233452437	0.0180717497503015	-0.0321456825060137	0.547446957093606	0.223313871048123	0.702956516536246	0.0782380037881777	0.177141876821275	0.155712661722625	0.0946674588940271	0.00168429385613337	0	0	-0.0624523128191485	0	0	0	0.0404705819977589	0.0156343502359753	0.0511866618803702	0	0	0	0	0	0.0500993208199781	0.00862570447766557	0.0120402100951354
MGW	0	0	0	0	0	0	0	0	0	0	0	-0.0409675224623573	-0.11205966785425	0	0	0	0	0.0186674567641902	0	-0.0720352295664068	-0.240656215962555	0.103723616324191	0.299433665988771	0	0	0	0	0.190116692449451	0.130905397178565	-0.167372187322859	-0.113768094342866	0	0.11261329057823	0	0	0	0	-0.145294587183063	-0.145627609180859	0	0	0	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085548466351582	0	0	0	0	0	0	0	-0.0858776734419883	0	0	-0.248208193993752	0	-0.314098813970282	0	0	-0.0283670286035539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0	0	0	0	0	0.035249693085949	0.0747836502517363	0.0238969120991066	0	0	0	0	0	0	0.0291427739862971	0.0733584092260584	0	0	0	-0.0531905295567892	0	0.0566588992632916	0	0	0.00262347813125752	0	-0.0626075809166446	0	0	0.0365341303641256	0	0	0	0	-0.0538412731360934	0	0	0	0.0383123579597228	0.00316259975597062	0	0	0	0	0	0	0.0132919855391155	0	0
Roll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000421385249230648	-0.244108493596568	0.409753106070449	0.2007315042713	-0.355755567798815	0.256013447147111	-0.352002303766628	0.145575067235734	0.382048589516756	-0.196281641545738	0	0	0	0	0	0	0	-0.0397206983969272	0	-0.00734546734041295	0	0	0	0	0	0	0	0	-0.000911036682938245	0	0
EP	0	0	0	0	0	0	0	0.156351264685349	0.0353546879244819	0.00804937986192136	0	0	-0.00464198931431722	-0.0663511479181611	0	0	0.0207661757060089	0.121778932014524	0.0742645240620983	0	0	-0.144119443097111	0.214124344912163	0.413813423621604	0	0	0.485185492922767	0.168314267564165	-0.136478142021461	0	0	0.125340070327349	0.262858076859448	0.0819594430235539	0	0	-0.0577448123010211	0	0	0	0	0.107245587995557	0.0749202242897999	0	0	0	0	0	0.0469387836524601	0	0
Stretch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288768058339047	0	-0.246426960972492	0	0	0	0	-0.377547453667372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0175741278529617	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334327462005423	0	-0.0475488912152783	0	0	0	0.0331722129797097	0	-0.375436951031462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0420958058787626	0.0540898735712742	0	-0.218322612151818	0	0.0880251790482319	0	0	0	0	-0.0351703806064761	0	0.282385683647507	0	0	0	0	0	0	0	0.0191065158634824	0	0	0	0	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0230746293011985	0	0	0	0.00842193527746928	0	0	0	0	-0.0108315023929165	0	0	0	0.000856768197163028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opening	0	0	0	0	0	0	0	0.0279590847616354	0	0.0417441496432496	0	0	0	-0.0649893806153821	0	0	0	0	0.0203103976960649	0.102060478016744	0	-0.293023193716186	0	0.0339269238137957	0	0	0.102191835732885	0	-0.145361718497862	0	0.169410311611653	0	0	0	0	0	-0.054028833645592	0	0	0	0	0.0496004628203107	0	0	0	0	0	0	0	0	0
Rise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020616372668695	0.381139111449648	0	-0.25631458772489	0.533502870357779	0	0	0	0.536542030139181	-0.256251882596317	0	0.35844110266241	0.000619402611395019	0	0	0	0	0	-0.0148289102889038	0	0	0	0	0	0	0	0	0	0	0	0	0
Shift	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.302503880925466	0.545372207256477	0	-0.208511648335723	0	0.341846136393794	0	-0.487059910755762	0.366529773664504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251901086802128	0	0
Stagger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106083471516934	0	0	0.12085214073789	0	0	0	0	0	0	0.0146458310398901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0769087957421583	0	0.0682401444924083	0	-0.0935603037014838	0	-0.0409072888422365	0	0.0852982067788705	0	-0.0995679586223496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
