-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0	0	0	0	0	0	0	0	0	-0.0252766329864732	-0.0330923507845554	0	0	0	0	-0.110152811256541	0	-0.0242289649620855	0	0.281956568210056	0.443378468833808	-0.161617544230437	-0.289648535675168	-0.0955920394088567	0.350872380403647	0.437075610502227	-0.348829371333584	-0.38880644548401	0	0.200667713722358	-0.0551375475669548	-0.158223901356456	-2.9068948952155e-05	0	-0.0788460291324561	0	-0.0381329890070992	0	0	-0.0854109557062858	0	-0.0231488635253822	-0.0420916993900775	0	-0.00902808181345657	0	0	0	0	0	-0.0573394648053132
MGW	0	0	0	0	0	0	0	0	-0.0931498814200617	-0.0284137629016275	0	0	-0.0313751769692057	0	0	-0.016000040697337	-0.0882415260035918	0	0.479809635100761	0.00161855710910398	0	0	0.0938208065147866	0.147035845088623	0	0	0.0937908638172235	0.0979800583851732	0	0	0.0243403882275108	0.484533116244844	0	-0.0595831916536134	-0.0297716018752362	0	-0.00751019780868566	-0.0282255508568914	0	0	0	-0.0821980231291445	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	0	0	0.0421266854514011	0	0	0	0	0	0	0	0.227349408866596	0	0	0	0	0	0	0	0	0	0	0	0	-0.00281385691116661	0	0	0	0	0	0.000834589586506528	0	0	0	0	0	0	0.00183952059535935	0	0.0256068245118062	0	0	0	0	0.000990994146079095	0	0
ProT	0	0	0	0	0	0	0	0	0	-0.0628729266187745	-0.024544954653076	0	0	0	0	-0.129204137724563	0	0	0	0	0	0	-0.107539799734766	0	0	0	0	-0.0823345244860465	0	0	0	0	0	0	-0.0955311880987741	-0.0103767986492702	0	0	0	-0.0485124595425015	0	0	0	0	0	0	0	0	-0.0236742744694973	0	0
Roll	0	0	0	0	0	0	0	0.000499767683834595	-0.00354967482760753	-0.136857959366477	0	0	0	0	-0.000756255513894725	0	0	0	0.0785652931313156	0	0	-0.254027950691317	0	0.236072872840652	0	0.166162689557274	-0.00766324055815881	0.164580549266359	0	-0.149071982474673	0.00127459260418402	0	0.101809965508373	0	-0.0956575439359637	0	0	0	0	0	0	-0.00360595784809874	0	0	0	0	0	0	0.0164649650017315	0	0
EP	0	0	0	0	0	0	0	0	-0.0111904057284019	-0.0220845313723826	-0.0779120564229994	0	0	0	0	-0.180459137393283	0	0	0	0.163646635490365	0.0506569071015251	0	0	0	0.476791579104389	0.347428684203646	0	0	0	0.0359835063441005	0.0240671206332344	0	0	0	-0.0868000913730847	0	-0.11209713327278	0	0	-0.147951248822057	-0.0364321375321128	-0.0944497627692468	0	0	0	0	0	0	0	0	0
Stretch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0659730276661136	0.00246592180513285	0	0	-0.0454102317099455	0	0.00359986830118541	0.0255851888195595	0	-0.198937476069809	-0.192173817198138	0	0.0127861039140126	0.0966332855056861	0	0	0	0	0.154816586821984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0218457602509996	0	0
Tilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0339831976095333	0.00143713967789587	0	0	0	0	0.154285395134134	0	0	0	0	0	-0.10378603682396	0	0	0	0	-0.0925120447820888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	0.0202412150604968	0	0	0	0	0	0	0	0	0	-0.310484999617773	0	0	0	-0.0731268356889781	0	0	0.301486590294801	0	0	0	0	0.0101214693522942	0	0	0	0	-0.0608597207995398	0	0	0	0	0	0	0	0	0.0448934431941338	0	0	0
Shear	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00968693573649046	0	0	0	-0.0754777785460736	-0.243269780975527	-0.118436108324998	-0.0740048771875449	-0.00922667923825094	-0.147351618862321	-0.00292075345253072	0	0	0.0622806640602098	0.173717211165585	0.0254989039162358	0.0664836522843398	0.133753066230672	0.247335014890692	0.124560632646918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
